时间,收盘价,代码,成交量,成交笔数,收益率,净价,全价
2018-08-16,100.5368,130309.IB,0.0,,3.900561809539795,100.5368,0
2018-08-17,100.5368,130309.IB,0.0,,3.9004695415496826,100.5368,0
2018-08-20,100.5368,130309.IB,0.0,,3.900193691253662,100.5368,0
2018-08-21,100.5368,130309.IB,0.0,,3.900102138519287,100.5368,0
2018-08-22,100.5368,130309.IB,0.0,,3.900010585784912,100.5368,0
2018-08-23,100.5368,130309.IB,0.0,,3.8999195098876953,100.5368,0
2018-08-24,100.5368,130309.IB,0.0,,3.8998281955718994,100.5368,0
2018-08-27,100.5368,130309.IB,0.0,,3.899555921554565,100.5368,0
2018-08-28,100.5368,130309.IB,0.0,,3.899465560913086,100.5368,0
2018-08-29,100.5368,130309.IB,0.0,,3.8993754386901855,100.5368,0
2018-08-30,100.5368,130309.IB,0.0,,3.899285316467285,100.5368,0
2018-08-31,100.5368,130309.IB,0.0,,3.8991951942443848,100.5368,0
2018-09-03,100.5368,130309.IB,0.0,,3.898926496505737,100.5368,0
2018-09-04,100.5368,130309.IB,0.0,,3.898837327957153,100.5368,0
2018-09-05,100.5368,130309.IB,0.0,,3.898748159408569,100.5368,0
2018-09-06,100.5368,130309.IB,0.0,,3.898659229278565,100.5368,0
2018-09-07,100.5368,130309.IB,0.0,,3.8985705375671382,100.5368,0
2018-09-10,100.5368,130309.IB,0.0,,3.8983054161071777,100.5368,0
2018-09-11,100.5368,130309.IB,0.0,,3.898217439651489,100.5368,0
2018-09-12,100.5368,130309.IB,0.0,,3.898129463195801,100.5368,0
2018-09-13,100.5368,130309.IB,0.0,,3.8980417251586914,100.5368,0
2018-09-14,100.5368,130309.IB,0.0,,3.897954225540161,100.5368,0
2018-09-17,100.5368,130309.IB,0.0,,3.897692680358887,100.5368,0
2018-09-18,100.5368,130309.IB,0.0,,3.8976058959960938,100.5368,0
2018-09-19,100.5368,130309.IB,0.0,,3.897519111633301,100.5368,0
